iso3,category,indicator,value,unit,year,source
LTU,energy,renewable_share,23.4,%,2024,Our World in Data / Energy Institute
MEX,energy,renewable_share,8.3,%,2024,Our World in Data / Energy Institute
ITA,energy,renewable_share,20.9,%,2024,Our World in Data / Energy Institute
PRT,energy,renewable_share,39.7,%,2024,Our World in Data / Energy Institute
JPN,energy,renewable_share,12.7,%,2024,Our World in Data / Energy Institute
PHL,energy,renewable_share,12.8,%,2024,Our World in Data / Energy Institute
SGP,energy,renewable_share,0.5,%,2024,Our World in Data / Energy Institute
MKD,energy,renewable_share,16.0,%,2024,Our World in Data / Energy Institute
PAK,energy,renewable_share,12.5,%,2024,Our World in Data / Energy Institute
MYS,energy,renewable_share,8.3,%,2024,Our World in Data / Energy Institute
MAR,energy,renewable_share,8.7,%,2024,Our World in Data / Energy Institute
QAT,energy,renewable_share,0.8,%,2024,Our World in Data / Energy Institute
NLD,energy,renewable_share,18.1,%,2024,Our World in Data / Energy Institute
RUS,energy,renewable_share,6.0,%,2024,Our World in Data / Energy Institute
KWT,energy,renewable_share,0.1,%,2024,Our World in Data / Energy Institute
LVA,energy,renewable_share,29.7,%,2024,Our World in Data / Energy Institute
SAU,energy,renewable_share,0.7,%,2024,Our World in Data / Energy Institute
ROU,energy,renewable_share,19.1,%,2024,Our World in Data / Energy Institute
LUX,energy,renewable_share,14.3,%,2024,Our World in Data / Energy Institute
POL,energy,renewable_share,13.0,%,2024,Our World in Data / Energy Institute
NZL,energy,renewable_share,42.6,%,2024,Our World in Data / Energy Institute
NOR,energy,renewable_share,71.8,%,2024,Our World in Data / Energy Institute
DZA,energy,renewable_share,0.2,%,2024,Our World in Data / Energy Institute
OMN,energy,renewable_share,1.1,%,2024,Our World in Data / Energy Institute
KAZ,energy,renewable_share,5.1,%,2024,Our World in Data / Energy Institute
AZE,energy,renewable_share,4.3,%,2024,Our World in Data / Energy Institute
ISR,energy,renewable_share,9.8,%,2024,Our World in Data / Energy Institute
DNK,energy,renewable_share,41.7,%,2024,Our World in Data / Energy Institute
THA,energy,renewable_share,7.4,%,2024,Our World in Data / Energy Institute
CZE,energy,renewable_share,9.7,%,2024,Our World in Data / Energy Institute
CYP,energy,renewable_share,10.8,%,2024,Our World in Data / Energy Institute
TTO,energy,renewable_share,0.0,%,2024,Our World in Data / Energy Institute
HRV,energy,renewable_share,27.8,%,2024,Our World in Data / Energy Institute
AUT,energy,renewable_share,43.3,%,2024,Our World in Data / Energy Institute
COL,energy,renewable_share,26.1,%,2024,Our World in Data / Energy Institute
UZB,energy,renewable_share,4.6,%,2024,Our World in Data / Energy Institute
TUR,energy,renewable_share,19.8,%,2024,Our World in Data / Energy Institute
CHN,energy,renewable_share,17.5,%,2024,Our World in Data / Energy Institute
TKM,energy,renewable_share,0.0,%,2024,Our World in Data / Energy Institute
CHL,energy,renewable_share,32.3,%,2024,Our World in Data / Energy Institute
UKR,energy,renewable_share,8.3,%,2024,Our World in Data / Energy Institute
CAN,energy,renewable_share,27.2,%,2024,Our World in Data / Energy Institute
BGR,energy,renewable_share,16.4,%,2024,Our World in Data / Energy Institute
ARE,energy,renewable_share,2.5,%,2024,Our World in Data / Energy Institute
BRA,energy,renewable_share,49.6,%,2024,Our World in Data / Energy Institute
BEL,energy,renewable_share,11.5,%,2024,Our World in Data / Energy Institute
GBR,energy,renewable_share,21.3,%,2024,Our World in Data / Energy Institute
BLR,energy,renewable_share,1.0,%,2024,Our World in Data / Energy Institute
BGD,energy,renewable_share,1.1,%,2024,Our World in Data / Energy Institute
USA,energy,renewable_share,12.1,%,2024,Our World in Data / Energy Institute
ECU,energy,renewable_share,25.4,%,2024,Our World in Data / Energy Institute
SVK,energy,renewable_share,11.3,%,2024,Our World in Data / Energy Institute
TWN,energy,renewable_share,6.3,%,2024,Our World in Data / Energy Institute
EST,energy,renewable_share,17.9,%,2024,Our World in Data / Energy Institute
SVN,energy,renewable_share,24.7,%,2024,Our World in Data / Energy Institute
ARG,energy,renewable_share,14.8,%,2024,Our World in Data / Energy Institute
IRL,energy,renewable_share,22.2,%,2024,Our World in Data / Energy Institute
VEN,energy,renewable_share,25.8,%,2024,Our World in Data / Energy Institute
IRQ,energy,renewable_share,0.6,%,2024,Our World in Data / Energy Institute
ZAF,energy,renewable_share,3.6,%,2024,Our World in Data / Energy Institute
IRN,energy,renewable_share,1.4,%,2024,Our World in Data / Energy Institute
IDN,energy,renewable_share,11.0,%,2024,Our World in Data / Energy Institute
KOR,energy,renewable_share,4.7,%,2024,Our World in Data / Energy Institute
IND,energy,renewable_share,9.1,%,2024,Our World in Data / Energy Institute
ISL,energy,renewable_share,80.5,%,2024,Our World in Data / Energy Institute
ESP,energy,renewable_share,25.9,%,2024,Our World in Data / Energy Institute
HUN,energy,renewable_share,12.7,%,2024,Our World in Data / Energy Institute
HKG,energy,renewable_share,1.0,%,2024,Our World in Data / Energy Institute
LKA,energy,renewable_share,23.2,%,2024,Our World in Data / Energy Institute
PER,energy,renewable_share,26.7,%,2024,Our World in Data / Energy Institute
GRC,energy,renewable_share,21.1,%,2024,Our World in Data / Energy Institute
DEU,energy,renewable_share,24.0,%,2024,Our World in Data / Energy Institute
SWE,energy,renewable_share,51.3,%,2024,Our World in Data / Energy Institute
FRA,energy,renewable_share,16.5,%,2024,Our World in Data / Energy Institute
FIN,energy,renewable_share,38.9,%,2024,Our World in Data / Energy Institute
CHE,energy,renewable_share,39.9,%,2024,Our World in Data / Energy Institute
AUS,energy,renewable_share,14.7,%,2024,Our World in Data / Energy Institute
EGY,energy,renewable_share,5.8,%,2024,Our World in Data / Energy Institute
VNM,energy,renewable_share,21.5,%,2024,Our World in Data / Energy Institute
SOM,agriculture,agriculture_share_gdp,55.8,% of GDP,1990,World Bank via Our World in Data
ERI,agriculture,agriculture_share_gdp,14.1,% of GDP,2009,World Bank via Our World in Data
VEN,agriculture,agriculture_share_gdp,5.0,% of GDP,2011,World Bank via Our World in Data
SXM,agriculture,agriculture_share_gdp,0.1,% of GDP,2013,World Bank via Our World in Data
SSD,agriculture,agriculture_share_gdp,10.4,% of GDP,2015,World Bank via Our World in Data
TUV,agriculture,agriculture_share_gdp,15.9,% of GDP,2015,World Bank via Our World in Data
YEM,agriculture,agriculture_share_gdp,28.7,% of GDP,2018,World Bank via Our World in Data
NCL,agriculture,agriculture_share_gdp,1.8,% of GDP,2019,World Bank via Our World in Data
PYF,agriculture,agriculture_share_gdp,2.2,% of GDP,2020,World Bank via Our World in Data
CAN,agriculture,agriculture_share_gdp,1.6,% of GDP,2021,World Bank via Our World in Data
USA,agriculture,agriculture_share_gdp,1.0,% of GDP,2021,World Bank via Our World in Data
VUT,agriculture,agriculture_share_gdp,24.3,% of GDP,2022,World Bank via Our World in Data
ABW,agriculture,agriculture_share_gdp,0.0,% of GDP,2022,World Bank via Our World in Data
NZL,agriculture,agriculture_share_gdp,4.6,% of GDP,2022,World Bank via Our World in Data
IMN,agriculture,agriculture_share_gdp,0.4,% of GDP,2022,World Bank via Our World in Data
SYR,agriculture,agriculture_share_gdp,43.1,% of GDP,2022,World Bank via Our World in Data
KIR,agriculture,agriculture_share_gdp,27.2,% of GDP,2023,World Bank via Our World in Data
PLW,agriculture,agriculture_share_gdp,3.0,% of GDP,2023,World Bank via Our World in Data
PSE,agriculture,agriculture_share_gdp,5.7,% of GDP,2023,World Bank via Our World in Data
LIE,agriculture,agriculture_share_gdp,0.2,% of GDP,2023,World Bank via Our World in Data
PNG,agriculture,agriculture_share_gdp,17.0,% of GDP,2023,World Bank via Our World in Data
ATG,agriculture,agriculture_share_gdp,1.9,% of GDP,2023,World Bank via Our World in Data
AFG,agriculture,agriculture_share_gdp,34.7,% of GDP,2023,World Bank via Our World in Data
GRL,agriculture,agriculture_share_gdp,16.6,% of GDP,2023,World Bank via Our World in Data
JPN,agriculture,agriculture_share_gdp,0.9,% of GDP,2023,World Bank via Our World in Data
BTN,agriculture,agriculture_share_gdp,15.0,% of GDP,2023,World Bank via Our World in Data
TON,agriculture,agriculture_share_gdp,19.0,% of GDP,2023,World Bank via Our World in Data
BMU,agriculture,agriculture_share_gdp,0.2,% of GDP,2023,World Bank via Our World in Data
CYM,agriculture,agriculture_share_gdp,0.4,% of GDP,2023,World Bank via Our World in Data
TJK,agriculture,agriculture_share_gdp,22.9,% of GDP,2023,World Bank via Our World in Data
LBN,agriculture,agriculture_share_gdp,1.0,% of GDP,2023,World Bank via Our World in Data
SMR,agriculture,agriculture_share_gdp,0.0,% of GDP,2023,World Bank via Our World in Data
TCA,agriculture,agriculture_share_gdp,0.4,% of GDP,2024,World Bank via Our World in Data
TUR,agriculture,agriculture_share_gdp,5.8,% of GDP,2024,World Bank via Our World in Data
SDN,agriculture,agriculture_share_gdp,22.2,% of GDP,2024,World Bank via Our World in Data
BGR,agriculture,agriculture_share_gdp,2.4,% of GDP,2024,World Bank via Our World in Data
CHE,agriculture,agriculture_share_gdp,0.6,% of GDP,2024,World Bank via Our World in Data
LVA,agriculture,agriculture_share_gdp,4.0,% of GDP,2024,World Bank via Our World in Data
IRN,agriculture,agriculture_share_gdp,10.8,% of GDP,2024,World Bank via Our World in Data
FSM,agriculture,agriculture_share_gdp,22.8,% of GDP,2024,World Bank via Our World in Data
MUS,agriculture,agriculture_share_gdp,4.2,% of GDP,2024,World Bank via Our World in Data
MDA,agriculture,agriculture_share_gdp,7.1,% of GDP,2024,World Bank via Our World in Data
LBY,agriculture,agriculture_share_gdp,2.4,% of GDP,2024,World Bank via Our World in Data
LSO,agriculture,agriculture_share_gdp,6.5,% of GDP,2024,World Bank via Our World in Data
IRL,agriculture,agriculture_share_gdp,1.0,% of GDP,2024,World Bank via Our World in Data
BFA,agriculture,agriculture_share_gdp,20.9,% of GDP,2024,World Bank via Our World in Data
CMR,agriculture,agriculture_share_gdp,18.5,% of GDP,2024,World Bank via Our World in Data
ALB,agriculture,agriculture_share_gdp,15.5,% of GDP,2024,World Bank via Our World in Data
