Entity,Code,Year,Share of the population who are religious
Afghanistan,AFG,2010,99.99135
Afghanistan,AFG,2020,99.99155
Africa,OWID_AFR,2010,97.50711
Africa,OWID_AFR,2020,97.88416
Albania,ALB,2010,90.46257
Albania,ALB,2020,92.347115
Algeria,DZA,2010,98.915276
Algeria,DZA,2020,98.733795
Angola,AGO,2010,95.52315
Angola,AGO,2020,93.88519
Argentina,ARG,2010,90.27249
Argentina,ARG,2020,90.76709
Armenia,ARM,2010,98.79385
Armenia,ARM,2020,98.82212
Aruba,ABW,2010,94.38775
Aruba,ABW,2020,94.126015
Asia,OWID_ASI,2010,68.00084
Asia,OWID_ASI,2020,68.42117
Asia-Pacific (Pew),PEW_APA,2010,66.980705
Asia-Pacific (Pew),PEW_APA,2020,67.15467
Australia,AUS,2010,75.14132
Australia,AUS,2020,57.65598
Austria,AUT,2010,86.49473
Austria,AUT,2020,77.60261
Azerbaijan,AZE,2010,98.9316
Azerbaijan,AZE,2020,95.24005
Bahamas,BHS,2010,98.084206
Bahamas,BHS,2020,98.14312
Bahrain,BHR,2010,99.63177
Bahrain,BHR,2020,99.679924
Bangladesh,BGD,2010,100
Bangladesh,BGD,2020,100
Barbados,BRB,2010,79.19351
Barbados,BRB,2020,79.861046
Belarus,BLR,2010,95.01992
Belarus,BLR,2020,86.22826
Belgium,BEL,2010,67.98737
Belgium,BEL,2020,61.016556
Belize,BLZ,2010,83.993416
Belize,BLZ,2020,84.3704
Benin,BEN,2010,95.600876
Benin,BEN,2020,95.11409
Bhutan,BTN,2010,99.971535
Bhutan,BTN,2020,99.95632
Bolivia,BOL,2010,96.0117
Bolivia,BOL,2020,90.45234
Bosnia and Herzegovina,BIH,2010,98.893036
Bosnia and Herzegovina,BIH,2020,98.95426
Botswana,BWA,2010,85.33732
Botswana,BWA,2020,85.27779
Brazil,BRA,2010,91.88428
Brazil,BRA,2020,86.52672
Brunei,BRN,2010,99.84345
Brunei,BRN,2020,99.843796
Bulgaria,BGR,2010,91.59275
Bulgaria,BGR,2020,89.96784
Burkina Faso,BFA,2010,99.3757
Burkina Faso,BFA,2020,99.4242
Burundi,BDI,2010,98.14089
Burundi,BDI,2020,98.74705
Cambodia,KHM,2010,99.90671
Cambodia,KHM,2020,99.92096
Cameroon,CMR,2010,96.92445
Cameroon,CMR,2020,97.920135
Canada,CAN,2010,76.14522
Canada,CAN,2020,65.37057
Cape Verde,CPV,2010,86.40841
Cape Verde,CPV,2020,79.3838
Central African Republic,CAF,2010,99.00177
Central African Republic,CAF,2020,99.54755
Chad,TCD,2010,97.310486
Chad,TCD,2020,96.86534
Channel Islands,OWID_CIS,2010,85.94011
Channel Islands,OWID_CIS,2020,85.783844
Chile,CHL,2010,86.41838
Chile,CHL,2020,69.73393
China,CHN,2010,12.577994
China,CHN,2020,10.376869
Colombia,COL,2010,92.755844
Colombia,COL,2020,90.0564
Comoros,COM,2010,99.86997
Comoros,COM,2020,99.87
Congo,COG,2010,94.36776
Congo,COG,2020,94.80081
Costa Rica,CRI,2010,92.45545
Costa Rica,CRI,2020,89.901405
Cote d'Ivoire,CIV,2010,89.991684
Cote d'Ivoire,CIV,2020,94.435646
Croatia,HRV,2010,95.32783
Croatia,HRV,2020,93.34217
Cuba,CUB,2010,76.46236
Cuba,CUB,2020,78.39216
Curacao,CUW,2010,94.1174
Curacao,CUW,2020,94.07378
Cyprus,CYP,2010,93.51679
Cyprus,CYP,2020,93.42991
Czechia,CZE,2010,31.46232
Czechia,CZE,2020,27.186573
Democratic Republic of Congo,COD,2010,98.57817
Democratic Republic of Congo,COD,2020,98.82445
Denmark,DNK,2010,85.50286
Denmark,DNK,2020,83.36909
Djibouti,DJI,2010,98.88505
Djibouti,DJI,2020,98.89869
Dominican Republic,DOM,2010,85.05826
Dominican Republic,DOM,2020,80.39891
East Timor,TLS,2010,99.82361
East Timor,TLS,2020,99.93614
Ecuador,ECU,2010,95.73057
Ecuador,ECU,2020,91.608604
Egypt,EGY,2010,99.995415
Egypt,EGY,2020,99.995346
El Salvador,SLV,2010,88.37601
El Salvador,SLV,2020,88.118004
Equatorial Guinea,GNQ,2010,95.012695
Equatorial Guinea,GNQ,2020,95.012695
Eritrea,ERI,2010,98.96114
Eritrea,ERI,2020,98.93885
Estonia,EST,2010,68.493004
Estonia,EST,2020,56.39712
Eswatini,SWZ,2010,96.012245
Eswatini,SWZ,2020,93.844025
Ethiopia,ETH,2010,99.93724
Ethiopia,ETH,2020,99.937675
Europe,OWID_EUR,2010,81.1586
Europe,OWID_EUR,2020,74.5761
Europe (Pew),PEW_EUR,2010,81.294556
Europe (Pew),PEW_EUR,2020,74.72331
Fiji,FJI,2010,99.74493
Fiji,FJI,2020,99.74867
Finland,FIN,2010,83.42949
Finland,FIN,2020,74.95278
France,FRA,2010,65.517784
France,FRA,2020,57.354248
French Guiana,GUF,2010,96.6691
French Guiana,GUF,2020,96.59236
French Polynesia,PYF,2010,95.07792
French Polynesia,PYF,2020,94.964485
Gabon,GAB,2010,92.205696
Gabon,GAB,2020,94.23796
Gambia,GMB,2010,99.969124
Gambia,GMB,2020,99.98206
Georgia,GEO,2010,99.562386
Georgia,GEO,2020,99.01169
Germany,DEU,2010,68.18405
Germany,DEU,2020,63.8523
Ghana,GHA,2010,94.72976
Ghana,GHA,2020,98.93165
Greece,GRC,2010,96.323906
Greece,GRC,2020,95.25762
Grenada,GRD,2010,94.226944
Grenada,GRD,2020,94.226944
Guadeloupe,GLP,2010,97.49251
Guadeloupe,GLP,2020,97.523575
Guam,GUM,2010,98.352974
Guam,GUM,2020,98.16688
Guatemala,GTM,2010,93.91391
Guatemala,GTM,2020,93.97906
Guinea,GIN,2010,96.63837
Guinea,GIN,2020,98.68038
Guinea-Bissau,GNB,2010,97.58545
Guinea-Bissau,GNB,2020,88.377686
Guyana,GUY,2010,96.86549
Guyana,GUY,2020,97.09165
Haiti,HTI,2010,92.36563
Haiti,HTI,2020,90.56531
Honduras,HND,2010,90.434944
Honduras,HND,2020,90.2561
Hong Kong,HKG,2010,31.806076
Hong Kong,HKG,2020,28.645214
Hungary,HUN,2010,75.01662
Hungary,HUN,2020,73.02409
Iceland,ISL,2010,84.12908
Iceland,ISL,2020,80.15458
India,IND,2010,99.99723
India,IND,2020,99.99674
Indonesia,IDN,2010,99.90063
Indonesia,IDN,2020,99.908
Iran,IRN,2010,100
Iran,IRN,2020,99.99995
Iraq,IRQ,2010,99.9991
Iraq,IRQ,2020,99.9992
Ireland,IRL,2010,93.85564
Ireland,IRL,2020,84.39876
Israel,ISR,2010,96.42344
Israel,ISR,2020,95.625336
Italy,ITA,2010,93.26101
Italy,ITA,2020,86.72757
Jamaica,JAM,2010,78.1507
Jamaica,JAM,2020,76.256355
Japan,JPN,2010,47.82006
Japan,JPN,2020,42.54383
Jordan,JOR,2010,99.924835
Jordan,JOR,2020,99.95261
Kazakhstan,KAZ,2010,97.13537
Kazakhstan,KAZ,2020,97.46555
Kenya,KEN,2010,97.59555
Kenya,KEN,2020,98.39656
Kiribati,KIR,2010,99.95453
Kiribati,KIR,2020,99.89952
Kosovo,OWID_KOS,2010,99.85056
Kosovo,OWID_KOS,2020,99.86096
Kuwait,KWT,2010,99.76435
Kuwait,KWT,2020,99.75175
Kyrgyzstan,KGZ,2010,98.4027
Kyrgyzstan,KGZ,2020,98.83022
Laos,LAO,2010,99.93534
Laos,LAO,2020,99.94717
Latin America-Caribbean (Pew),PEW_LAC,2010,92.15929
Latin America-Caribbean (Pew),PEW_LAC,2020,88.06167
Latvia,LVA,2010,89.00514
Latvia,LVA,2020,83.026184
Lebanon,LBN,2010,99.98257
Lebanon,LBN,2020,99.98119
Lesotho,LSO,2010,98.54475
Lesotho,LSO,2020,98.3351
Liberia,LBR,2010,98.546906
Liberia,LBR,2020,98.9335
Libya,LBY,2010,99.90345
Libya,LBY,2020,99.9506
Lithuania,LTU,2010,93.17139
Lithuania,LTU,2020,92.919914
Luxembourg,LUX,2010,79.80217
Luxembourg,LUX,2020,74.713684
Macao,MAC,2010,32.301495
Macao,MAC,2020,32.386032
Madagascar,MDG,2010,77.547035
Madagascar,MDG,2020,77.70416
Malawi,MWI,2010,99.026985
