Entity,Code,Year,Renewables
Africa,OWID_AFR,1965,5.419266
Africa,OWID_AFR,1966,5.772398
Africa,OWID_AFR,1967,5.9637628
Africa,OWID_AFR,1968,6.60547
Africa,OWID_AFR,1969,7.505726
Africa,OWID_AFR,1970,8.64954
Africa,OWID_AFR,1971,7.6892214
Africa,OWID_AFR,1972,8.276323
Africa,OWID_AFR,1973,8.068716
Africa,OWID_AFR,1974,8.73629
Africa,OWID_AFR,1975,8.713099
Africa,OWID_AFR,1976,8.90637
Africa,OWID_AFR,1977,9.280894
Africa,OWID_AFR,1978,9.005293
Africa,OWID_AFR,1979,8.839782
Africa,OWID_AFR,1980,8.006187
Africa,OWID_AFR,1981,7.4046946
Africa,OWID_AFR,1982,6.9447308
Africa,OWID_AFR,1983,6.0913973
Africa,OWID_AFR,1984,5.8182507
Africa,OWID_AFR,1985,6.2178087
Africa,OWID_AFR,1986,6.357194
Africa,OWID_AFR,1987,5.8988004
Africa,OWID_AFR,1988,6.009116
Africa,OWID_AFR,1989,6.295899
Africa,OWID_AFR,1990,6.2146626
Africa,OWID_AFR,1991,6.5928745
Africa,OWID_AFR,1992,6.2082686
Africa,OWID_AFR,1993,6.0758667
Africa,OWID_AFR,1994,5.958603
Africa,OWID_AFR,1995,5.9614854
Africa,OWID_AFR,1996,6.079956
Africa,OWID_AFR,1997,6.1115522
Africa,OWID_AFR,1998,6.318395
Africa,OWID_AFR,1999,6.490369
Africa,OWID_AFR,2000,6.8128176
Africa,OWID_AFR,2001,7.0239744
Africa,OWID_AFR,2002,7.235608
Africa,OWID_AFR,2003,6.7313123
Africa,OWID_AFR,2004,6.535212
Africa,OWID_AFR,2005,6.6441298
Africa,OWID_AFR,2006,6.7591224
Africa,OWID_AFR,2007,6.67644
Africa,OWID_AFR,2008,6.3756404
Africa,OWID_AFR,2009,6.4545474
Africa,OWID_AFR,2010,6.7359877
Africa,OWID_AFR,2011,6.8191915
Africa,OWID_AFR,2012,6.5544257
Africa,OWID_AFR,2013,6.7026834
Africa,OWID_AFR,2014,6.997135
Africa,OWID_AFR,2015,7.022668
Africa,OWID_AFR,2016,6.932607
Africa,OWID_AFR,2017,7.179438
Africa,OWID_AFR,2018,7.598577
Africa,OWID_AFR,2019,7.84052
Africa,OWID_AFR,2020,8.819855
Africa,OWID_AFR,2021,8.715219
Africa,OWID_AFR,2022,8.9204855
Africa,OWID_AFR,2023,9.215277
Africa,OWID_AFR,2024,9.354101
Africa (EI),,1965,5.419266
Africa (EI),,1966,5.772398
Africa (EI),,1967,5.9637628
Africa (EI),,1968,6.60547
Africa (EI),,1969,7.505726
Africa (EI),,1970,8.64954
Africa (EI),,1971,7.6892214
Africa (EI),,1972,8.276323
Africa (EI),,1973,8.068716
Africa (EI),,1974,8.73629
Africa (EI),,1975,8.713099
Africa (EI),,1976,8.90637
Africa (EI),,1977,9.280894
Africa (EI),,1978,9.005293
Africa (EI),,1979,8.839782
Africa (EI),,1980,8.006187
Africa (EI),,1981,7.4046946
Africa (EI),,1982,6.9447308
Africa (EI),,1983,6.0913973
Africa (EI),,1984,5.8182507
Africa (EI),,1985,6.2178087
Africa (EI),,1986,6.357194
Africa (EI),,1987,5.8988004
Africa (EI),,1988,6.009116
Africa (EI),,1989,6.295899
Africa (EI),,1990,6.2146626
Africa (EI),,1991,6.5928745
Africa (EI),,1992,6.2082686
Africa (EI),,1993,6.0758667
Africa (EI),,1994,5.958603
Africa (EI),,1995,5.9614854
Africa (EI),,1996,6.079956
Africa (EI),,1997,6.1115522
Africa (EI),,1998,6.318395
Africa (EI),,1999,6.490369
Africa (EI),,2000,6.8128176
Africa (EI),,2001,7.0239744
Africa (EI),,2002,7.235608
Africa (EI),,2003,6.7313123
Africa (EI),,2004,6.535212
Africa (EI),,2005,6.6441298
Africa (EI),,2006,6.7591224
Africa (EI),,2007,6.67644
Africa (EI),,2008,6.3756404
Africa (EI),,2009,6.4545474
Africa (EI),,2010,6.7359877
Africa (EI),,2011,6.8191915
Africa (EI),,2012,6.5544257
Africa (EI),,2013,6.7026834
Africa (EI),,2014,6.997135
Africa (EI),,2015,7.022668
Africa (EI),,2016,6.932607
Africa (EI),,2017,7.179438
Africa (EI),,2018,7.598577
Africa (EI),,2019,7.84052
Africa (EI),,2020,8.819855
Africa (EI),,2021,8.715219
Africa (EI),,2022,8.9204855
Africa (EI),,2023,9.215277
Africa (EI),,2024,9.354101
Algeria,DZA,1965,4.48735
Algeria,DZA,1966,3.312554
Algeria,DZA,1967,4.04235
Algeria,DZA,1968,5.170891
Algeria,DZA,1969,2.995647
Algeria,DZA,1970,4.3953433
Algeria,DZA,1971,2.3105145
Algeria,DZA,1972,3.0857866
Algeria,DZA,1973,3.9326987
Algeria,DZA,1974,2.3470907
Algeria,DZA,1975,1.2958319
Algeria,DZA,1976,1.3172302
Algeria,DZA,1977,0.828733
Algeria,DZA,1978,0.61283517
Algeria,DZA,1979,0.54437596
Algeria,DZA,1980,0.4031064
Algeria,DZA,1981,0.47260314
Algeria,DZA,1982,0.5364575
Algeria,DZA,1983,0.24094447
Algeria,DZA,1984,0.4826921
Algeria,DZA,1985,0.6844301
Algeria,DZA,1986,0.2502992
Algeria,DZA,1987,0.48622057
Algeria,DZA,1988,0.16645434
Algeria,DZA,1989,0.21135321
Algeria,DZA,1990,0.11906669
Algeria,DZA,1991,0.26082626
Algeria,DZA,1992,0.17263989
Algeria,DZA,1993,0.32912087
Algeria,DZA,1994,0.15274073
Algeria,DZA,1995,0.1712212
Algeria,DZA,1996,0.12100656
Algeria,DZA,1997,0.06994659
Algeria,DZA,1998,0.19370805
Algeria,DZA,1999,0.18108313
Algeria,DZA,2000,0.05001067
Algeria,DZA,2001,0.061327934
Algeria,DZA,2002,0.048507243
Algeria,DZA,2003,0.2143434
Algeria,DZA,2004,0.19449507
Algeria,DZA,2005,0.40765893
Algeria,DZA,2006,0.15344006
Algeria,DZA,2007,0.1504157
Algeria,DZA,2008,0.17631334
Algeria,DZA,2009,0.20000759
Algeria,DZA,2010,0.10803143
Algeria,DZA,2011,0.22096606
Algeria,DZA,2012,0.21108034
Algeria,DZA,2013,0.060776502
Algeria,DZA,2014,0.110372595
Algeria,DZA,2015,0.09101885
Algeria,DZA,2016,0.13686113
Algeria,DZA,2017,0.23208226
Algeria,DZA,2018,0.27123353
Algeria,DZA,2019,0.27703846
Algeria,DZA,2020,0.2825046
Algeria,DZA,2021,0.23804712
Algeria,DZA,2022,0.22791375
Algeria,DZA,2023,0.22667149
Algeria,DZA,2024,0.24168092
Argentina,ARG,1965,1.0365571
Argentina,ARG,1966,1.0169654
Argentina,ARG,1967,1.0119467
Argentina,ARG,1968,1.1537669
Argentina,ARG,1969,1.0012252
Argentina,ARG,1970,1.2743663
Argentina,ARG,1971,1.1961744
Argentina,ARG,1972,1.1634786
Argentina,ARG,1973,2.150352
Argentina,ARG,1974,3.419432
Argentina,ARG,1975,3.6439414
Argentina,ARG,1976,3.3488772
Argentina,ARG,1977,3.6833985
Argentina,ARG,1978,4.903417
Argentina,ARG,1979,6.312004
Argentina,ARG,1980,9.006264
Argentina,ARG,1981,9.003798
Argentina,ARG,1982,10.539137
Argentina,ARG,1983,10.597402
Argentina,ARG,1984,11.37571
Argentina,ARG,1985,11.97929
Argentina,ARG,1986,11.6309395
Argentina,ARG,1987,11.583315
Argentina,ARG,1988,7.94562
Argentina,ARG,1989,7.115889
Argentina,ARG,1990,9.72907
Argentina,ARG,1991,8.570026
Argentina,ARG,1992,9.639757
Argentina,ARG,1993,11.552494
Argentina,ARG,1994,12.563101
Argentina,ARG,1995,11.829992
Argentina,ARG,1996,9.646128
Argentina,ARG,1997,11.7813425
Argentina,ARG,1998,10.780106
Argentina,ARG,1999,8.606011
Argentina,ARG,2000,11.556684
Argentina,ARG,2001,15.036309
Argentina,ARG,2002,15.334841
Argentina,ARG,2003,13.613283
Argentina,ARG,2004,11.464811
Argentina,ARG,2005,12.031582
Argentina,ARG,2006,12.677819
Argentina,ARG,2007,10.023992
Argentina,ARG,2008,9.871803
Argentina,ARG,2009,11.193401
Argentina,ARG,2010,11.091996
Argentina,ARG,2011,10.412118
Argentina,ARG,2012,9.701297
Argentina,ARG,2013,10.134094
Argentina,ARG,2014,10.396154
Argentina,ARG,2015,10.275299
Argentina,ARG,2016,9.586403
Argentina,ARG,2017,10.4453335
Argentina,ARG,2018,10.823792
Argentina,ARG,2019,11.416995
Argentina,ARG,2020,11.833357
Argentina,ARG,2021,10.9474535
Argentina,ARG,2022,12.009511
Argentina,ARG,2023,14.100092
Argentina,ARG,2024,14.8029785
Asia,OWID_ASI,1965,7.432044
Asia,OWID_ASI,1966,7.0720425
Asia,OWID_ASI,1967,6.3527813
Asia,OWID_ASI,1968,6.569131
Asia,OWID_ASI,1969,5.9424615
Asia,OWID_ASI,1970,5.338737
Asia,OWID_ASI,1971,5.3574486
Asia,OWID_ASI,1972,5.1683064
Asia,OWID_ASI,1973,4.453309
Asia,OWID_ASI,1974,4.986885
Asia,OWID_ASI,1975,5.1229615
Asia,OWID_ASI,1976,4.9715347
Asia,OWID_ASI,1977,4.6057205
Asia,OWID_ASI,1978,4.5662656
Asia,OWID_ASI,1979,4.722843
Asia,OWID_ASI,1980,5.088805
Asia,OWID_ASI,1981,5.3860116
Asia,OWID_ASI,1982,5.3858433
Asia,OWID_ASI,1983,5.3535123
Asia,OWID_ASI,1984,5.058345
Asia,OWID_ASI,1985,5.068473
Asia,OWID_ASI,1986,4.9153004
Asia,OWID_ASI,1987,4.789855
Asia,OWID_ASI,1988,5.1354856
Asia,OWID_ASI,1989,5.0364676
Asia,OWID_ASI,1990,5.0518737
Asia,OWID_ASI,1991,4.9086103
Asia,OWID_ASI,1992,4.7349057
Asia,OWID_ASI,1993,5.0243816
Asia,OWID_ASI,1994,4.7801275
Asia,OWID_ASI,1995,4.989715
Asia,OWID_ASI,1996,4.75086
Asia,OWID_ASI,1997,4.6363955
Asia,OWID_ASI,1998,4.9079843
Asia,OWID_ASI,1999,4.6748323
Asia,OWID_ASI,2000,4.6494074
Asia,OWID_ASI,2001,4.8165894
Asia,OWID_ASI,2002,4.7241597
Asia,OWID_ASI,2003,4.547672
Asia,OWID_ASI,2004,4.8382006
Asia,OWID_ASI,2005,4.662669
Asia,OWID_ASI,2006,4.8525996
Asia,OWID_ASI,2007,4.825958
Asia,OWID_ASI,2008,5.314891
Asia,OWID_ASI,2009,5.1766567
Asia,OWID_ASI,2010,5.6266966
Asia,OWID_ASI,2011,5.561722
Asia,OWID_ASI,2012,6.123732
Asia,OWID_ASI,2013,6.5937834
Asia,OWID_ASI,2014,7.1452227
Asia,OWID_ASI,2015,7.460905
Asia,OWID_ASI,2016,7.9438753
Asia,OWID_ASI,2017,8.361931
Asia,OWID_ASI,2018,8.861806
Asia,OWID_ASI,2019,9.469624
Asia,OWID_ASI,2020,10.196916
Asia,OWID_ASI,2021,10.664015
Asia,OWID_ASI,2022,11.3970175
Asia,OWID_ASI,2023,11.639132
Asia,OWID_ASI,2024,12.840818
Asia Pacific (EI),,1965,8.397852
Asia Pacific (EI),,1966,7.95934
Asia Pacific (EI),,1967,7.2007213
Asia Pacific (EI),,1968,7.385397
Asia Pacific (EI),,1969,6.663484
Asia Pacific (EI),,1970,6.040476
Asia Pacific (EI),,1971,6.124594
Asia Pacific (EI),,1972,5.8903556
Asia Pacific (EI),,1973,5.1859164
Asia Pacific (EI),,1974,5.755616
Asia Pacific (EI),,1975,5.846043
Asia Pacific (EI),,1976,5.5825176
Asia Pacific (EI),,1977,5.1645403
Asia Pacific (EI),,1978,5.0863347
Asia Pacific (EI),,1979,5.3198147
Asia Pacific (EI),,1980,5.6710453
Asia Pacific (EI),,1981,6.0053434
Asia Pacific (EI),,1982,5.9902735
Asia Pacific (EI),,1983,6.070675
Asia Pacific (EI),,1984,5.7794704
Asia Pacific (EI),,1985,5.8585114
Asia Pacific (EI),,1986,5.7805715
Asia Pacific (EI),,1987,5.426447
Asia Pacific (EI),,1988,5.599741
Asia Pacific (EI),,1989,5.714998
Asia Pacific (EI),,1990,5.5978065
Asia Pacific (EI),,1991,5.485459
Asia Pacific (EI),,1992,5.140153
Asia Pacific (EI),,1993,5.321518
Asia Pacific (EI),,1994,5.1249
Asia Pacific (EI),,1995,5.3663697
Asia Pacific (EI),,1996,5.02817
Asia Pacific (EI),,1997,4.9460554
Asia Pacific (EI),,1998,5.2754397
Asia Pacific (EI),,1999,5.0724454
Asia Pacific (EI),,2000,5.110704
Asia Pacific (EI),,2001,5.3577056
Asia Pacific (EI),,2002,5.1713486
Asia Pacific (EI),,2003,4.9028373
Asia Pacific (EI),,2004,5.2052226
Asia Pacific (EI),,2005,5.04304
Asia Pacific (EI),,2006,5.251553
Asia Pacific (EI),,2007,5.2841787
Asia Pacific (EI),,2008,6.002861
Asia Pacific (EI),,2009,5.843994
Asia Pacific (EI),,2010,6.2801642
Asia Pacific (EI),,2011,6.255693
Asia Pacific (EI),,2012,6.889021
Asia Pacific (EI),,2013,7.4414215
Asia Pacific (EI),,2014,8.202232
Asia Pacific (EI),,2015,8.490678
Asia Pacific (EI),,2016,9.073095
Asia Pacific (EI),,2017,9.544332
Asia Pacific (EI),,2018,10.123153
Asia Pacific (EI),,2019,10.596511
Asia Pacific (EI),,2020,11.515578
Asia Pacific (EI),,2021,12.157434
Asia Pacific (EI),,2022,13.0057535
Asia Pacific (EI),,2023,13.212713
Asia Pacific (EI),,2024,14.513296
Australia,AUS,1965,5.251514
Australia,AUS,1966,4.7868743
Australia,AUS,1967,4.6709657
Australia,AUS,1968,4.5908995
Australia,AUS,1969,4.799949
Australia,AUS,1970,5.1151695
Australia,AUS,1971,5.494465
Australia,AUS,1972,5.2832108
Australia,AUS,1973,5.2738605
Australia,AUS,1974,5.621664
Australia,AUS,1975,5.946086
Australia,AUS,1976,5.46922
Australia,AUS,1977,4.9728255
Australia,AUS,1978,5.1981664
Australia,AUS,1979,4.8739867
Australia,AUS,1980,4.5865984
Australia,AUS,1981,4.651113
